genes	module
0610007P14Rik	5
0610009B22Rik	5
0610009L18Rik	0
0610009O20Rik	6
0610010F05Rik	0
0610010K14Rik	5
Mettl26	2
0610012G03Rik	5
0610030E20Rik	1
0610037L13Rik	4
0610040J01Rik	0
Fmc1	5
1110002L01Rik	1
1110004E09Rik	2
1110004F10Rik	3
1110006O24Rik	1
Card19	2
1110008F13Rik	5
1110008L16Rik	3
1110008P14Rik	2
1110012L19Rik	5
1110019D14Rik	1
1110032A03Rik	0
1110034G24Rik	5
1110037F02Rik	1
1110038B12Rik	1
1110038F14Rik	2
1110051M20Rik	5
1110059E24Rik	3
1110059G10Rik	5
1110065P20Rik	5
1190002N15Rik	3
1190007I07Rik	0
Ncbp3	0
1300002E11Rik	1
1500011B03Rik	5
1500011K16Rik	5
Zfas1	4
1600002H07Rik	0
1600002K03Rik	0
1600010M07Rik	4
1600012H06Rik	3
1600014C10Rik	7
1600020E01Rik	4
1700001C19Rik	0
1700007L15Rik	8
1700008J07Rik	1
1700009J07Rik	4
1700010I14Rik	0
1700011I03Rik	1
1700012D14Rik	1
1700017B05Rik	2
1700020I14Rik	1
1700020N01Rik	8
1700021F05Rik	5
Rubcn	0
1700025G04Rik	0
1700028E10Rik	1
1700030C10Rik	0
1700030K09Rik	4
1700037C18Rik	0
1700037H04Rik	2
Zfp974	1
1700052K11Rik	0
1700066B19Rik	1
1700066M21Rik	3
1700067K01Rik	1
1700094D03Rik	4
1700096K18Rik	0
1700112E06Rik	8
1700113A16Rik	4
1700123O20Rik	3
1810009A15Rik	0
1810010H24Rik	0
1810011H11Rik	4
1810011O10Rik	4
1810013L24Rik	1
1810014B01Rik	0
1810021B22Rik	0
1810022K09Rik	5
1810026B05Rik	4
1810026J23Rik	3
1810030O07Rik	7
1810037I17Rik	9
1810043G02Rik	0
Ndufaf8	5
1810055G02Rik	0
1810058I24Rik	5
Borcs7	5
2010107E04Rik	5
2010111I01Rik	1
2010204K13Rik	9
2010315B03Rik	0
2010320M18Rik	2
2210013O21Rik	9
Ube2d-ps	4
2210016F16Rik	5
2210016L21Rik	2
Emsy	4
Zfp995	0
2210408F21Rik	0
2210408I21Rik	1
2300009A05Rik	4
2310009A05Rik	5
2310009B15Rik	3
2310011J03Rik	2
2310015A10Rik	4
2310022A10Rik	0
2310022B05Rik	0
2310033P09Rik	2
2310035C23Rik	1
2310036O22Rik	5
2310039H08Rik	0
2310040G24Rik	4
Borcs8	4
Borcs6	2
2310057M21Rik	5
2310061I04Rik	0
Tmem94	0
2410002F23Rik	4
2410004B18Rik	0
2410006H16Rik	1
2410015M20Rik	5
2410016O06Rik	7
2410089E03Rik	1
Carnmt1	0
2410131K14Rik	0
2500004C02Rik	4
2510002D24Rik	4
2510009E07Rik	1
2510039O18Rik	7
2610001J05Rik	5
2610002M06Rik	0
2610005L07Rik	1
2610008E11Rik	1
Ccdc191	1
2610020H08Rik	4
2610035D17Rik	0
2610044O15Rik8	0
2610203C22Rik	0
2610206C17Rik	0
2610301B20Rik	0
2610306M01Rik	4
2610507B11Rik	4
2610507I01Rik	4
2610524H06Rik	3
2610528A11Rik	0
Hpf1	3
2700046G09Rik	4
2700049A03Rik	1
2700060E02Rik	5
2700062C07Rik	0
2700081O15Rik	4
2700094K13Rik	5
2700097O09Rik	1
2810001G20Rik	1
2810002D19Rik	0
2810004N23Rik	0
2810006K23Rik	0
2810013P06Rik	1
2810021J22Rik	1
2810025M15Rik	0
2810403A07Rik	1
2810428I15Rik	5
2810468N07Rik	2
2810474O19Rik	1
2900005J15Rik	1
2900008C10Rik	0
2900026A02Rik	8
2900076A07Rik	4
2900097C17Rik	1
3010026O09Rik	0
3110001I22Rik	1
3110002H16Rik	4
3110009E18Rik	5
3110021N24Rik	1
3110040N11Rik	0
3110043O21Rik	3
Zfp983	0
3110056K07Rik	1
Abhd18	0
3110062M04Rik	4
3110082I17Rik	0
3830403N18Rik	3
3830406C13Rik	0
4430402I18Rik	0
4632404H12Rik	4
4632415L05Rik	1
4632427E13Rik	1
Vsir	2
4732471J01Rik	4
4732491K20Rik	0
4833411C07Rik	1
4833417C18Rik	4
4833420G17Rik	1
4833439L19Rik	3
4921524J17Rik	3
4921531C22Rik	1
4930402H24Rik	4
4930404N11Rik	0
4930413G21Rik	4
4930427A07Rik	0
4930430F08Rik	0
4930432K21Rik	0
4930447K03Rik	0
4930447M23Rik	0
4930453N24Rik	3
4930480K23Rik	0
4930481A15Rik	4
4930503L19Rik	1
4930526I15Rik	0
4930539J05Rik	0
4930577N17Rik	0
4930579G24Rik	0
4930594C11Rik	1
4930599N23Rik	1
4931402G19Rik	1
4931406C07Rik	0
4931406H21Rik	1
4931406P16Rik	0
4931414P19Rik	0
4931431C16Rik	1
4932438A13Rik	1
4933406I18Rik	4
4933412E12Rik	2
4933421O10Rik	1
4933427D14Rik	4
4933434E20Rik	3
4933439C10Rik	4
Rubcnl	0
5031425E22Rik	1
5031439G07Rik	0
Dubr	1
5430405H02Rik	1
5430427O19Rik	0
5530601H04Rik	1
5730409E04Rik	4
5730455P16Rik	4
5730508B09Rik	1
Trmo	0
5830417I10Rik	4
5830432E09Rik	1
