genes	module
0610007P14Rik	7
0610009B22Rik	1
0610009L18Rik	2
0610009O20Rik	2
0610010F05Rik	1
0610010K14Rik	3
Mettl26	7
0610012G03Rik	3
0610030E20Rik	2
0610037L13Rik	2
0610040J01Rik	3
Fmc1	7
1110002L01Rik	0
1110004E09Rik	3
1110004F10Rik	0
1110006O24Rik	0
Card19	3
1110008F13Rik	5
1110008L16Rik	1
1110008P14Rik	3
1110012L19Rik	0
1110019D14Rik	8
1110032A03Rik	7
1110034G24Rik	7
1110037F02Rik	8
1110038B12Rik	2
1110038F14Rik	3
1110051M20Rik	0
1110059E24Rik	1
1110059G10Rik	1
1110065P20Rik	0
1190002N15Rik	1
1190007I07Rik	1
Ncbp3	0
1300002E11Rik	1
1500011B03Rik	0
1500011K16Rik	7
Zfas1	2
1600002H07Rik	0
1600002K03Rik	2
1600010M07Rik	2
1600012H06Rik	1
1600014C10Rik	6
1600020E01Rik	2
1700001C19Rik	0
1700007L15Rik	1
1700008J07Rik	8
1700009J07Rik	2
1700010I14Rik	0
1700011I03Rik	1
1700012D14Rik	1
1700017B05Rik	3
1700020I14Rik	1
1700020N01Rik	9
1700021F05Rik	3
Rubcn	4
1700025G04Rik	2
1700028E10Rik	0
1700030C10Rik	0
1700030K09Rik	2
1700037C18Rik	0
1700037H04Rik	4
Zfp974	1
1700052K11Rik	2
1700066B19Rik	1
1700066M21Rik	1
1700067K01Rik	1
1700096K18Rik	1
1700110C19Rik	8
1700112E06Rik	1
1700113A16Rik	3
1700123O20Rik	1
1810009A15Rik	2
1810010H24Rik	0
1810011H11Rik	2
1810011O10Rik	2
1810013L24Rik	1
1810014B01Rik	7
1810021B22Rik	2
1810022K09Rik	7
1810026B05Rik	2
1810026J23Rik	6
1810030O07Rik	6
1810037I17Rik	1
1810043G02Rik	2
Ndufaf8	5
1810055G02Rik	2
1810058I24Rik	7
Borcs7	7
2010107E04Rik	7
2010111I01Rik	1
2010204K13Rik	0
2010315B03Rik	1
2010320M18Rik	3
2210013O21Rik	9
Ube2d-ps	2
2210016F16Rik	5
2210016L21Rik	3
Emsy	2
Zfp995	1
2210408F21Rik	0
2210408I21Rik	8
2300009A05Rik	2
2310009A05Rik	7
2310009B15Rik	1
2310011J03Rik	3
2310015A10Rik	0
2310022A10Rik	3
2310022B05Rik	4
