genes	module
0610007P14Rik	7
0610009B22Rik	2
0610009L18Rik	3
0610009O20Rik	1
0610010F05Rik	2
0610010K14Rik	4
Mettl26	0
0610012G03Rik	0
0610030E20Rik	5
0610037L13Rik	3
0610040J01Rik	0
Fmc1	0
1110002L01Rik	3
1110004E09Rik	1
1110004F10Rik	6
1110006O24Rik	7
Card19	1
1110008F13Rik	6
1110008L16Rik	2
1110008P14Rik	4
1110012L19Rik	0
1110019D14Rik	3
1110032A03Rik	0
1110034G24Rik	6
1110037F02Rik	5
1110038B12Rik	5
1110038F14Rik	1
1110051M20Rik	4
1110059E24Rik	2
1110059G10Rik	2
1110065P20Rik	7
1190002N15Rik	6
1190007I07Rik	0
Ncbp3	0
1300002E11Rik	5
1500011B03Rik	0
1500011K16Rik	7
Zfas1	3
1600002H07Rik	0
1600002K03Rik	3
1600010M07Rik	3
1600012H06Rik	2
1600014C10Rik	2
1600020E01Rik	3
1700001C19Rik	4
1700007L15Rik	0
1700008J07Rik	2
1700009J07Rik	0
1700010I14Rik	1
1700011I03Rik	0
1700012D14Rik	2
1700017B05Rik	1
1700020I14Rik	2
1700020N01Rik	8
1700021F05Rik	4
Rubcn	1
1700025G04Rik	1
1700028E10Rik	0
1700030C10Rik	0
1700030K09Rik	3
1700037C18Rik	0
1700037H04Rik	4
Zfp974	5
1700052K11Rik	0
1700066B19Rik	2
1700066M21Rik	2
1700067K01Rik	5
1700086O06Rik	0
1700094D03Rik	3
1700096K18Rik	0
1700112E06Rik	0
1700113A16Rik	3
1700123O20Rik	2
1810009A15Rik	1
1810010H24Rik	0
1810011H11Rik	3
1810011O10Rik	5
1810013L24Rik	2
1810014B01Rik	0
1810021B22Rik	1
1810022K09Rik	7
1810026B05Rik	3
1810026J23Rik	6
1810030O07Rik	4
1810037I17Rik	7
1810043G02Rik	0
Ndufaf8	7
1810055G02Rik	0
1810058I24Rik	7
Borcs7	7
2010107E04Rik	7
2010109A12Rik	7
2010111I01Rik	5
2010204K13Rik	8
2010315B03Rik	5
2010320M18Rik	1
2210013O21Rik	2
Ube2d-ps	3
2210016F16Rik	4
2210016L21Rik	0
Emsy	3
Zfp995	2
2210408F21Rik	5
2210408I21Rik	0
2300009A05Rik	3
2310009A05Rik	0
2310009B15Rik	7
2310011J03Rik	1
2310015A10Rik	3
2310022A10Rik	1
2310022B05Rik	1
2310033P09Rik	1
2310035C23Rik	5
2310036O22Rik	0
2310039H08Rik	0
2310040G24Rik	3
Borcs8	3
Borcs6	1
2310057M21Rik	6
2310061I04Rik	0
Tmem94	8
2410002F23Rik	3
2410004B18Rik	9
2410006H16Rik	5
2410015M20Rik	7
2410016O06Rik	4
2410089E03Rik	5
Carnmt1	0
2410131K14Rik	0
2500004C02Rik	3
2510002D24Rik	3
2510009E07Rik	2
2510039O18Rik	4
2610001J05Rik	2
2610002M06Rik	2
2610005L07Rik	5
2610008E11Rik	5
Ccdc191	5
2610020H08Rik	3
2610035D17Rik	1
2610044O15Rik8	5
2610203C22Rik	3
2610206C17Rik	3
2610301B20Rik	0
2610306M01Rik	0
2610507B11Rik	3
2610507I01Rik	1
2610524H06Rik	2
2610528A11Rik	3
Hpf1	2
2700046G09Rik	3
2700049A03Rik	5
2700060E02Rik	0
2700062C07Rik	3
2700081O15Rik	1
2700094K13Rik	7
2700097O09Rik	5
2810001G20Rik	0
2810002D19Rik	2
2810004N23Rik	7
2810006K23Rik	3
2810013P06Rik	5
2810021J22Rik	5
2810025M15Rik	1
2810403A07Rik	9
2810403D21Rik	0
2810428I15Rik	1
2810454H06Rik	2
2810468N07Rik	0
2810474O19Rik	5
2900005J15Rik	5
2900008C10Rik	0
2900026A02Rik	8
2900076A07Rik	3
2900097C17Rik	2
3000002C10Rik	3
3010026O09Rik	1
3110001I22Rik	2
3110002H16Rik	3
3110009E18Rik	0
3110021N24Rik	5
3110040N11Rik	0
3110043O21Rik	2
Zfp983	5
3110056K07Rik	5
Abhd18	5
3110062M04Rik	1
3110082I17Rik	0
3830403N18Rik	2
3830406C13Rik	0
4632404H12Rik	3
4632415L05Rik	5
4632427E13Rik	5
4632428C04Rik	0
Vsir	4
4732471J01Rik	3
4732491K20Rik	0
4831440E17Rik	2
4833411C07Rik	5
4833417C18Rik	3
4833420G17Rik	5
4833439L19Rik	2
4921524J17Rik	2
4921531C22Rik	2
4930402H24Rik	5
4930404N11Rik	4
4930413G21Rik	1
4930427A07Rik	0
4930430F08Rik	2
4930432K21Rik	0
4930447K03Rik	1
4930447M23Rik	0
4930453N24Rik	6
4930480K23Rik	0
4930481A15Rik	3
4930503L19Rik	5
4930515G01Rik	0
4930523C07Rik	8
4930526I15Rik	1
4930539J05Rik	0
4930563E22Rik	5
4930577N17Rik	1
4930579G24Rik	0
4930594C11Rik	5
4930599N23Rik	5
4931402G19Rik	5
4931406C07Rik	0
4931406H21Rik	5
4931406P16Rik	0
4931414P19Rik	1
4931428F04Rik	1
4931431C16Rik	2
4932438A13Rik	5
4933406I18Rik	3
4933412E12Rik	1
4933421O10Rik	0
4933427D14Rik	3
4933431G14Rik	5
4933434E20Rik	2
4933439C10Rik	3
Rubcnl	0
5031425E22Rik	5
5031439G07Rik	1
Dubr	0
5430405H02Rik	5
5430427O19Rik	5
5530601H04Rik	5
5730455P16Rik	3
5730508B09Rik	9
Trmo	0
5830417I10Rik	3
5830432E09Rik	5
5830444B04Rik	3
5930430L01Rik	2
6030458C11Rik	0
6030468B19Rik	5
6330407A03Rik	5
Tmem268	4
6330418K02Rik	3
6430548M08Rik	1
6530402F18Rik	2
6720489N17Rik	5
8030423J24Rik	3
8030442B05Rik	3
8030462N17Rik	2
Fam234b	2
8430429K09Rik	0
9030025P20Rik	0
9030617O03Rik	1
9030624J02Rik	4
9130011E15Rik	1
9130019O22Rik	0
9130023H24Rik	1
9130401M01Rik	7
9330020H09Rik	0
9330133O14Rik	5
9330151L19Rik	5
9430015G10Rik	3
9430016H08Rik	6
9430038I01Rik	0
9430060I03Rik	2
9430083A17Rik	2
9430091E24Rik	0
9530062K07Rik	2
9530068E07Rik	6
9530082P21Rik	1
9630028I04Rik	1
Zfp976	3
9930012K11Rik	3
9930021J03Rik	5
9930104L06Rik	3
9930111J21Rik1	3
A130010J15Rik	2
A230046K03Rik	5
A230050P20Rik	1
A230056P14Rik	3
A230072C01Rik	0
A430005L14Rik	0
A430033K04Rik	0
A430035B10Rik	2
A430046D13Rik	3
A530088E08Rik	2
A630001G21Rik	3
A630033H20Rik	2
A630066F11Rik	0
A630072M18Rik	2
A630089N07Rik	3
A730017L22Rik	5
A830010M20Rik	3
A830052D11Rik	3
A830080D01Rik	5
